SUBDIVISION,YEAR,Parameter,ANNUAL
JHARKHAND,1927,No. of districts,NA
JHARKHAND,1928,Actual,1384
JHARKHAND,1928,Percentage departure,5.3
JHARKHAND,1928,No. of districts,NA
JHARKHAND,1929,Actual,1611.5
JHARKHAND,1929,Percentage departure,22.6
JHARKHAND,1929,No. of districts,NA
JHARKHAND,1930,Actual,1434
JHARKHAND,1930,Percentage departure,9.1
JHARKHAND,1930,No. of districts,NA
JHARKHAND,1931,Actual,1350.4
JHARKHAND,1931,Percentage departure,2.7
JHARKHAND,1931,No. of districts,NA
JHARKHAND,1932,Actual,1193.8
JHARKHAND,1932,Percentage departure,-9.2
JHARKHAND,1932,No. of districts,NA
JHARKHAND,1933,Actual,1535.6
JHARKHAND,1933,Percentage departure,16.8
JHARKHAND,1933,No. of districts,NA
JHARKHAND,1934,Actual,1197.4
JHARKHAND,1934,Percentage departure,-8.9
JHARKHAND,1934,No. of districts,NA
JHARKHAND,1935,Actual,1151.6
JHARKHAND,1935,Percentage departure,-12.4
JHARKHAND,1935,No. of districts,NA
JHARKHAND,1936,Actual,1664.3
JHARKHAND,1936,Percentage departure,26.6
JHARKHAND,1936,No. of districts,NA
JHARKHAND,1937,Actual,1450.6
JHARKHAND,1937,Percentage departure,10.3
JHARKHAND,1937,No. of districts,NA
JHARKHAND,1938,Actual,1229.8
JHARKHAND,1938,Percentage departure,-6.5
JHARKHAND,1938,No. of districts,NA
JHARKHAND,1939,Actual,1519.7
JHARKHAND,1939,Percentage departure,15.6
JHARKHAND,1939,No. of districts,NA
JHARKHAND,1940,Actual,1231.9
JHARKHAND,1940,Percentage departure,-6.3
JHARKHAND,1940,No. of districts,NA
JHARKHAND,1941,Actual,1513.5
JHARKHAND,1941,Percentage departure,15.1
JHARKHAND,1941,No. of districts,NA
JHARKHAND,1942,Actual,1589
JHARKHAND,1942,Percentage departure,20.8
JHARKHAND,1942,No. of districts,NA
JHARKHAND,1943,Actual,1556.1
JHARKHAND,1943,Percentage departure,18.3
JHARKHAND,1943,No. of districts,NA
JHARKHAND,1944,Actual,1386.3
JHARKHAND,1944,Percentage departure,5.4
JHARKHAND,1944,No. of districts,NA
JHARKHAND,1945,Actual,1308.7
JHARKHAND,1945,Percentage departure,-0.5
JHARKHAND,1945,No. of districts,NA
JHARKHAND,1946,Actual,1553.2
JHARKHAND,1946,Percentage departure,18.1
JHARKHAND,1946,No. of districts,NA
JHARKHAND,1947,Actual,1234.5
JHARKHAND,1947,Percentage departure,-6.1
JHARKHAND,1947,No. of districts,NA
JHARKHAND,1948,Actual,1402.6
JHARKHAND,1948,Percentage departure,6.7
JHARKHAND,1948,No. of districts,NA
JHARKHAND,1949,Actual,1436.7
JHARKHAND,1949,Percentage departure,9.3
JHARKHAND,1949,No. of districts,NA
JHARKHAND,1950,Actual,1393
JHARKHAND,1950,Percentage departure,5.9
JHARKHAND,1950,No. of districts,NA
JHARKHAND,1951,Actual,1071.7
JHARKHAND,1951,Percentage departure,-18.5
JHARKHAND,1951,No. of districts,NA
JHARKHAND,1952,Actual,1387.4
JHARKHAND,1952,Percentage departure,5.5
JHARKHAND,1952,No. of districts,NA
JHARKHAND,1953,Actual,1509.4
JHARKHAND,1953,Percentage departure,14.8
JHARKHAND,1953,No. of districts,NA
JHARKHAND,1954,Actual,1059.5
JHARKHAND,1954,Percentage departure,-19.4
JHARKHAND,1954,No. of districts,NA
JHARKHAND,1955,Actual,1080.8
JHARKHAND,1955,Percentage departure,-17.8
JHARKHAND,1955,No. of districts,NA
JHARKHAND,1956,Actual,1555.7
JHARKHAND,1956,Percentage departure,18.3
JHARKHAND,1956,No. of districts,NA
JHARKHAND,1957,Actual,1377.5
JHARKHAND,1957,Percentage departure,4.8
JHARKHAND,1957,No. of districts,NA
JHARKHAND,1958,Actual,1180.5
JHARKHAND,1958,Percentage departure,-10.2
JHARKHAND,1958,No. of districts,NA
JHARKHAND,1959,Actual,1599.9
JHARKHAND,1959,Percentage departure,21.7
JHARKHAND,1959,No. of districts,NA
JHARKHAND,1960,Actual,1248.8
JHARKHAND,1960,Percentage departure,-5
JHARKHAND,1960,No. of districts,NA
JHARKHAND,1961,Actual,1560.5
JHARKHAND,1961,Percentage departure,18.7
JHARKHAND,1961,No. of districts,NA
JHARKHAND,1962,Actual,1047.7
JHARKHAND,1962,Percentage departure,-20.3
JHARKHAND,1962,No. of districts,NA
JHARKHAND,1963,Actual,1315
JHARKHAND,1963,Percentage departure,0
JHARKHAND,1963,No. of districts,NA
JHARKHAND,1964,Actual,1150.3
JHARKHAND,1964,Percentage departure,-12.5
JHARKHAND,1964,No. of districts,NA
JHARKHAND,1965,Actual,1012.4
JHARKHAND,1965,Percentage departure,-23
JHARKHAND,1965,No. of districts,NA
JHARKHAND,1966,Actual,879.8
JHARKHAND,1966,Percentage departure,-33.1
JHARKHAND,1966,No. of districts,NA
JHARKHAND,1967,Actual,1225.3
JHARKHAND,1967,Percentage departure,-6.8
JHARKHAND,1967,No. of districts,NA
JHARKHAND,1968,Actual,1293.4
JHARKHAND,1968,Percentage departure,-1.6
JHARKHAND,1968,No. of districts,NA
JHARKHAND,1969,Actual,1158.1
JHARKHAND,1969,Percentage departure,-11.9
JHARKHAND,1969,No. of districts,NA
JHARKHAND,1970,Actual,1291.5
JHARKHAND,1970,Percentage departure,-1.8
JHARKHAND,1970,No. of districts,NA
JHARKHAND,1971,Actual,1898.6
JHARKHAND,1971,Percentage departure,44.4
JHARKHAND,1971,No. of districts,NA
JHARKHAND,1972,Actual,996.1
JHARKHAND,1972,Percentage departure,-24.2
JHARKHAND,1972,No. of districts,NA
JHARKHAND,1973,Actual,1441
JHARKHAND,1973,Percentage departure,9.6
JHARKHAND,1973,No. of districts,NA
JHARKHAND,1974,Actual,1127
JHARKHAND,1974,Percentage departure,-14.3
JHARKHAND,1974,No. of districts,NA
JHARKHAND,1975,Actual,1361.3
JHARKHAND,1975,Percentage departure,3.5
JHARKHAND,1975,No. of districts,NA
JHARKHAND,1976,Actual,1191.8
JHARKHAND,1976,Percentage departure,-9.4
JHARKHAND,1976,No. of districts,NA
JHARKHAND,1977,Actual,1521.5
JHARKHAND,1977,Percentage departure,15.7
JHARKHAND,1977,No. of districts,NA
JHARKHAND,1978,Actual,1556.1
JHARKHAND,1978,Percentage departure,18.3
JHARKHAND,1978,No. of districts,NA
JHARKHAND,1979,Actual,882.8
JHARKHAND,1979,Percentage departure,-32.9
JHARKHAND,1979,No. of districts,NA
JHARKHAND,1980,Actual,1340.6
JHARKHAND,1980,Percentage departure,2
JHARKHAND,1980,No. of districts,NA
JHARKHAND,1981,Actual,1167.2
JHARKHAND,1981,Percentage departure,-11.2
JHARKHAND,1981,No. of districts,NA
JHARKHAND,1982,Actual,1085.3
JHARKHAND,1982,Percentage departure,-17.5
JHARKHAND,1982,No. of districts,NA
JHARKHAND,1983,Actual,1261.7
JHARKHAND,1983,Percentage departure,-4
JHARKHAND,1983,No. of districts,NA
JHARKHAND,1984,Actual,1529.9
JHARKHAND,1984,Percentage departure,16.4
JHARKHAND,1984,No. of districts,NA
JHARKHAND,1985,Actual,1240.3
JHARKHAND,1985,Percentage departure,-5.7
JHARKHAND,1985,No. of districts,NA
JHARKHAND,1986,Actual,1335.6
JHARKHAND,1986,Percentage departure,1.6
JHARKHAND,1986,No. of districts,NA
JHARKHAND,1987,Actual,1332.7
JHARKHAND,1987,Percentage departure,1.4
JHARKHAND,1987,No. of districts,NA
JHARKHAND,1988,Actual,1153.7
JHARKHAND,1988,Percentage departure,-12.3
JHARKHAND,1988,No. of districts,NA
JHARKHAND,1989,Actual,1149
JHARKHAND,1989,Percentage departure,-12.6
JHARKHAND,1989,No. of districts,NA
JHARKHAND,1990,Actual,1404.2
JHARKHAND,1990,Percentage departure,6.8
JHARKHAND,1990,No. of districts,NA
JHARKHAND,1991,Actual,1250.9
JHARKHAND,1991,Percentage departure,-4.9
JHARKHAND,1991,No. of districts,NA
JHARKHAND,1992,Actual,933
JHARKHAND,1992,Percentage departure,-29
JHARKHAND,1992,No. of districts,NA
JHARKHAND,1993,Actual,1204
JHARKHAND,1993,Percentage departure,-8.4
JHARKHAND,1993,No. of districts,NA
JHARKHAND,1994,Actual,1579.4
JHARKHAND,1994,Percentage departure,20.1
JHARKHAND,1994,No. of districts,NA
JHARKHAND,1995,Actual,1366.5
JHARKHAND,1995,Percentage departure,3.9
JHARKHAND,1995,No. of districts,NA
JHARKHAND,1996,Actual,1191.7
JHARKHAND,1996,Percentage departure,-9.4
JHARKHAND,1996,No. of districts,NA
JHARKHAND,1997,Actual,1461.3
JHARKHAND,1997,Percentage departure,11.1
JHARKHAND,1997,No. of districts,NA
JHARKHAND,1998,Actual,1353.8
JHARKHAND,1998,Percentage departure,3
JHARKHAND,1998,No. of districts,NA
JHARKHAND,1999,Actual,1586.9
JHARKHAND,1999,Percentage departure,20.7
JHARKHAND,1999,No. of districts,NA
JHARKHAND,2000,Actual,1191.5
JHARKHAND,2000,Percentage departure,-9.4
JHARKHAND,2000,No. of districts,NA
JHARKHAND,2001,Actual,1254.4
JHARKHAND,2001,Percentage departure,-4.6
JHARKHAND,2001,No. of districts,NA
JHARKHAND,2002,Actual,1034.9
JHARKHAND,2002,Percentage departure,-21.3
JHARKHAND,2002,No. of districts,NA
JHARKHAND,2003,Actual,1245
JHARKHAND,2003,Percentage departure,-5.3
JHARKHAND,2003,No. of districts,NA
JHARKHAND,2004,Actual,1136.6
JHARKHAND,2004,Percentage departure,-13.6
JHARKHAND,2004,No. of districts,NA
JHARKHAND,2005,Actual,960.4
JHARKHAND,2005,Percentage departure,-27
JHARKHAND,2005,No. of districts,NA
JHARKHAND,2006,Actual,1459.5
JHARKHAND,2006,Percentage departure,11
JHARKHAND,2006,No. of districts,NA
JHARKHAND,2007,Actual,1437.3
JHARKHAND,2007,Percentage departure,9.3
JHARKHAND,2007,No. of districts,NA
JHARKHAND,2008,Actual,1325.3
JHARKHAND,2008,Percentage departure,0.8
JHARKHAND,2008,No. of districts,NA
JHARKHAND,2009,Actual,996.1
JHARKHAND,2009,Percentage departure,-24.2
JHARKHAND,2009,No. of districts,NA
JHARKHAND,2010,Actual,697.1
JHARKHAND,2010,Percentage departure,-47
JHARKHAND,2010,No. of districts,NA
JHARKHAND,2011,Actual,1374.7
JHARKHAND,2011,Percentage departure,4.5
JHARKHAND,2011,No. of districts,NA
JHARKHAND,2012,Actual,1065
JHARKHAND,2012,Percentage departure,-19
JHARKHAND,2012,No. of districts,NA
JHARKHAND,2013,Actual,1253.6
JHARKHAND,2013,Percentage departure,-4.7
JHARKHAND,2013,No. of districts,NA
JHARKHAND,2014,Actual,1156.6
JHARKHAND,2014,Percentage departure,-12
JHARKHAND,2014,No. of districts,NA
JHARKHAND,2015,Actual,1081.8
JHARKHAND,2015,Percentage departure,-17.7
JHARKHAND,2015,No. of districts,NA
KERALA,1901,Mean,2930.4
KERALA,1901,Standard deviation,422.6
KERALA,1901,Coefficient of variation,14.4
KERALA,1901,Actual,3248.6
KERALA,1901,Percentage departure,10.9
KERALA,1901,No. of districts,NA
KERALA,1902,Actual,3326.6
KERALA,1902,Percentage departure,13.5
KERALA,1902,No. of districts,NA
KERALA,1903,Actual,3271.2
KERALA,1903,Percentage departure,11.6
KERALA,1903,No. of districts,NA
KERALA,1904,Actual,3129.7
KERALA,1904,Percentage departure,6.8
KERALA,1904,No. of districts,NA
KERALA,1905,Actual,2741.6
KERALA,1905,Percentage departure,-6.4
KERALA,1905,No. of districts,NA
KERALA,1906,Actual,2708
KERALA,1906,Percentage departure,-7.6
KERALA,1906,No. of districts,NA
KERALA,1907,Actual,3671.1
KERALA,1907,Percentage departure,25.3
KERALA,1907,No. of districts,NA
KERALA,1908,Actual,2648.3
KERALA,1908,Percentage departure,-9.6
KERALA,1908,No. of districts,NA
KERALA,1909,Actual,3050.2
KERALA,1909,Percentage departure,4.1
KERALA,1909,No. of districts,NA
KERALA,1910,Actual,2848.6
KERALA,1910,Percentage departure,-2.8
KERALA,1910,No. of districts,NA
KERALA,1911,Actual,2726.7
KERALA,1911,Percentage departure,-7
KERALA,1911,No. of districts,NA
KERALA,1912,Actual,3451.3
KERALA,1912,Percentage departure,17.8
KERALA,1912,No. of districts,NA
KERALA,1913,Actual,2610.8
KERALA,1913,Percentage departure,-10.9
KERALA,1913,No. of districts,NA
KERALA,1914,Actual,2899.1
KERALA,1914,Percentage departure,-1.1
KERALA,1914,No. of districts,NA
KERALA,1915,Actual,3024.5
KERALA,1915,Percentage departure,3.2
KERALA,1915,No. of districts,NA
KERALA,1916,Actual,2945.3
KERALA,1916,Percentage departure,0.5
KERALA,1916,No. of districts,NA
KERALA,1917,Actual,2704.8
KERALA,1917,Percentage departure,-7.7
KERALA,1917,No. of districts,NA
KERALA,1918,Actual,2501.9
KERALA,1918,Percentage departure,-14.6
KERALA,1918,No. of districts,NA
KERALA,1919,Actual,3003.3
KERALA,1919,Percentage departure,2.5
KERALA,1919,No. of districts,NA
KERALA,1920,Actual,3303.1
KERALA,1920,Percentage departure,12.7
KERALA,1920,No. of districts,NA
KERALA,1921,Actual,2719.9
KERALA,1921,Percentage departure,-7.2
KERALA,1921,No. of districts,NA
KERALA,1922,Actual,3267.6
KERALA,1922,Percentage departure,11.5
KERALA,1922,No. of districts,NA
KERALA,1923,Actual,3484.7
KERALA,1923,Percentage departure,18.9
KERALA,1923,No. of districts,NA
KERALA,1924,Actual,4226.4
KERALA,1924,Percentage departure,44.2
KERALA,1924,No. of districts,NA
KERALA,1925,Actual,3062.1
KERALA,1925,Percentage departure,4.5
KERALA,1925,No. of districts,NA
KERALA,1926,Actual,2965.4
KERALA,1926,Percentage departure,1.2
KERALA,1926,No. of districts,NA
KERALA,1927,Actual,2994.7
KERALA,1927,Percentage departure,2.2
KERALA,1927,No. of districts,NA
KERALA,1928,Actual,2502.8
KERALA,1928,Percentage departure,-14.6
KERALA,1928,No. of districts,NA
KERALA,1929,Actual,3361.6
KERALA,1929,Percentage departure,14.7
KERALA,1929,No. of districts,NA
KERALA,1930,Actual,3018
KERALA,1930,Percentage departure,3
KERALA,1930,No. of districts,NA
KERALA,1931,Actual,3259.6
KERALA,1931,Percentage departure,11.2
KERALA,1931,No. of districts,NA
KERALA,1932,Actual,3403
KERALA,1932,Percentage departure,16.1
KERALA,1932,No. of districts,NA
KERALA,1933,Actual,4072.9
KERALA,1933,Percentage departure,39
KERALA,1933,No. of districts,NA
KERALA,1934,Actual,2410.7
KERALA,1934,Percentage departure,-17.7
KERALA,1934,No. of districts,NA
KERALA,1935,Actual,2498.2
KERALA,1935,Percentage departure,-14.7
KERALA,1935,No. of districts,NA
KERALA,1936,Actual,3043.3
KERALA,1936,Percentage departure,3.9
KERALA,1936,No. of districts,NA
KERALA,1937,Actual,2818.2
KERALA,1937,Percentage departure,-3.8
KERALA,1937,No. of districts,NA
KERALA,1938,Actual,2634.1
KERALA,1938,Percentage departure,-10.1
KERALA,1938,No. of districts,NA
KERALA,1939,Actual,2937.5
KERALA,1939,Percentage departure,0.2
KERALA,1939,No. of districts,NA
KERALA,1940,Actual,3117.8
KERALA,1940,Percentage departure,6.4
KERALA,1940,No. of districts,NA
KERALA,1941,Actual,3111.1
KERALA,1941,Percentage departure,6.2
KERALA,1941,No. of districts,NA
KERALA,1942,Actual,3050.9
KERALA,1942,Percentage departure,4.1
KERALA,1942,No. of districts,NA
KERALA,1943,Actual,3464.2
KERALA,1943,Percentage departure,18.2
KERALA,1943,No. of districts,NA
KERALA,1944,Actual,2490
KERALA,1944,Percentage departure,-15
KERALA,1944,No. of districts,NA
KERALA,1945,Actual,2432.4
KERALA,1945,Percentage departure,-17
KERALA,1945,No. of districts,NA
KERALA,1946,Actual,3565.5
KERALA,1946,Percentage departure,21.7
KERALA,1946,No. of districts,NA
KERALA,1947,Actual,2998.1
KERALA,1947,Percentage departure,2.3
KERALA,1947,No. of districts,NA
KERALA,1948,Actual,3039.2
KERALA,1948,Percentage departure,3.7
KERALA,1948,No. of districts,NA
KERALA,1949,Actual,2942.6
KERALA,1949,Percentage departure,0.4
KERALA,1949,No. of districts,NA
KERALA,1950,Actual,3146.6
KERALA,1950,Percentage departure,7.4
KERALA,1950,No. of districts,NA
KERALA,1951,Actual,2705.5
KERALA,1951,Percentage departure,-7.7
KERALA,1951,No. of districts,NA
KERALA,1952,Actual,2334.8
KERALA,1952,Percentage departure,-20.3
KERALA,1952,No. of districts,NA
KERALA,1953,Actual,2544.9
KERALA,1953,Percentage departure,-13.2
KERALA,1953,No. of districts,NA
KERALA,1954,Actual,2938
KERALA,1954,Percentage departure,0.3
KERALA,1954,No. of districts,NA
KERALA,1955,Actual,3134.7
KERALA,1955,Percentage departure,7
KERALA,1955,No. of districts,NA
KERALA,1956,Actual,2798.4
KERALA,1956,Percentage departure,-4.5
KERALA,1956,No. of districts,NA
KERALA,1957,Actual,3103.3
KERALA,1957,Percentage departure,5.9
KERALA,1957,No. of districts,NA
KERALA,1958,Actual,2923.1
KERALA,1958,Percentage departure,-0.2
KERALA,1958,No. of districts,NA
KERALA,1959,Actual,3746
KERALA,1959,Percentage departure,27.8
KERALA,1959,No. of districts,NA
KERALA,1960,Actual,3385.5
KERALA,1960,Percentage departure,15.5
KERALA,1960,No. of districts,NA
KERALA,1961,Actual,4257.8
KERALA,1961,Percentage departure,45.3
KERALA,1961,No. of districts,NA
KERALA,1962,Actual,3375.8
KERALA,1962,Percentage departure,15.2
KERALA,1962,No. of districts,NA
KERALA,1963,Actual,2651.1
KERALA,1963,Percentage departure,-9.5
KERALA,1963,No. of districts,NA
KERALA,1964,Actual,2869.1
KERALA,1964,Percentage departure,-2.1
KERALA,1964,No. of districts,NA
KERALA,1965,Actual,2342.4
KERALA,1965,Percentage departure,-20.1
KERALA,1965,No. of districts,NA
KERALA,1966,Actual,2621.7
KERALA,1966,Percentage departure,-10.5
KERALA,1966,No. of districts,NA
KERALA,1967,Actual,2569.1
KERALA,1967,Percentage departure,-12.3
KERALA,1967,No. of districts,NA
KERALA,1968,Actual,3392.7
KERALA,1968,Percentage departure,15.8
KERALA,1968,No. of districts,NA
KERALA,1969,Actual,2665
KERALA,1969,Percentage departure,-9.1
KERALA,1969,No. of districts,NA
KERALA,1970,Actual,2703.5
KERALA,1970,Percentage departure,-7.7
KERALA,1970,No. of districts,NA
KERALA,1971,Actual,3076.8
KERALA,1971,Percentage departure,5
KERALA,1971,No. of districts,NA
KERALA,1972,Actual,2739.4
KERALA,1972,Percentage departure,-6.5
KERALA,1972,No. of districts,NA
KERALA,1973,Actual,2412.5
KERALA,1973,Percentage departure,-17.7
KERALA,1973,No. of districts,NA
KERALA,1974,Actual,2767.4
KERALA,1974,Percentage departure,-5.6
KERALA,1974,No. of districts,NA
KERALA,1975,Actual,3498.4
KERALA,1975,Percentage departure,19.4
KERALA,1975,No. of districts,NA
KERALA,1976,Actual,2068.8
KERALA,1976,Percentage departure,-29.4
KERALA,1976,No. of districts,NA
KERALA,1977,Actual,3047.6
KERALA,1977,Percentage departure,4
KERALA,1977,No. of districts,NA
KERALA,1978,Actual,3176.7
KERALA,1978,Percentage departure,8.4
KERALA,1978,No. of districts,NA
KERALA,1979,Actual,2503
KERALA,1979,Percentage departure,-14.6
KERALA,1979,No. of districts,NA
KERALA,1980,Actual,2803.4
KERALA,1980,Percentage departure,-4.3
KERALA,1980,No. of districts,NA
KERALA,1981,Actual,3005.9
KERALA,1981,Percentage departure,2.6
KERALA,1981,No. of districts,NA
KERALA,1982,Actual,2223.3
KERALA,1982,Percentage departure,-24.1
KERALA,1982,No. of districts,NA
KERALA,1983,Actual,2320.3
KERALA,1983,Percentage departure,-20.8
KERALA,1983,No. of districts,NA
KERALA,1984,Actual,2762.1
KERALA,1984,Percentage departure,-5.7
KERALA,1984,No. of districts,NA
KERALA,1985,Actual,2390.5
KERALA,1985,Percentage departure,-18.4
KERALA,1985,No. of districts,NA
KERALA,1986,Actual,2093.2
KERALA,1986,Percentage departure,-28.6
KERALA,1986,No. of districts,NA
KERALA,1987,Actual,2137.6
KERALA,1987,Percentage departure,-27.1
KERALA,1987,No. of districts,NA
KERALA,1988,Actual,2403.5
KERALA,1988,Percentage departure,-18
KERALA,1988,No. of districts,NA
KERALA,1989,Actual,2422.7
KERALA,1989,Percentage departure,-17.3
KERALA,1989,No. of districts,NA
KERALA,1990,Actual,2693.1
KERALA,1990,Percentage departure,-8.1
KERALA,1990,No. of districts,NA
KERALA,1991,Actual,3184.5
KERALA,1991,Percentage departure,8.7
KERALA,1991,No. of districts,NA
KERALA,1992,Actual,3239.5
KERALA,1992,Percentage departure,10.5
KERALA,1992,No. of districts,NA
KERALA,1993,Actual,2717.7
KERALA,1993,Percentage departure,-7.3
KERALA,1993,No. of districts,NA
KERALA,1994,Actual,3410.8
KERALA,1994,Percentage departure,16.4
KERALA,1994,No. of districts,NA
KERALA,1995,Actual,2858.8
KERALA,1995,Percentage departure,-2.4
KERALA,1995,No. of districts,NA
KERALA,1996,Actual,2610
KERALA,1996,Percentage departure,-10.9
KERALA,1996,No. of districts,NA
KERALA,1997,Actual,3252.4
KERALA,1997,Percentage departure,11
KERALA,1997,No. of districts,NA
KERALA,1998,Actual,3151.5
KERALA,1998,Percentage departure,7.5
KERALA,1998,No. of districts,NA
KERALA,1999,Actual,2914.6
KERALA,1999,Percentage departure,-0.5
KERALA,1999,No. of districts,NA
KERALA,2000,Actual,2412.6
KERALA,2000,Percentage departure,-17.7
KERALA,2000,No. of districts,NA
KERALA,2001,Actual,2931.1
KERALA,2001,Percentage departure,0
KERALA,2001,No. of districts,NA
KERALA,2002,Actual,2507.4
KERALA,2002,Percentage departure,-14.4
KERALA,2002,No. of districts,NA
KERALA,2003,Actual,2394.9
KERALA,2003,Percentage departure,-18.3
KERALA,2003,No. of districts,NA
KERALA,2004,Actual,2886.1
KERALA,2004,Percentage departure,-1.5
KERALA,2004,No. of districts,NA
KERALA,2005,Actual,3031.1
KERALA,2005,Percentage departure,3.4
KERALA,2005,No. of districts,NA
KERALA,2006,Actual,3420.6
KERALA,2006,Percentage departure,16.7
KERALA,2006,No. of districts,NA
KERALA,2007,Actual,3489.6
KERALA,2007,Percentage departure,19.1
KERALA,2007,No. of districts,NA
KERALA,2008,Actual,2524.5
KERALA,2008,Percentage departure,-13.9
KERALA,2008,No. of districts,NA
KERALA,2009,Actual,2810.6
KERALA,2009,Percentage departure,-4.1
KERALA,2009,No. of districts,NA
KERALA,2010,Actual,3131.8
KERALA,2010,Percentage departure,6.9
KERALA,2010,No. of districts,NA
KERALA,2011,Actual,3035.1
KERALA,2011,Percentage departure,3.6
KERALA,2011,No. of districts,NA
KERALA,2012,Actual,2151.1
KERALA,2012,Percentage departure,-26.6
KERALA,2012,No. of districts,NA
KERALA,2013,Actual,3255.4
KERALA,2013,Percentage departure,11.1
KERALA,2013,No. of districts,NA
KERALA,2014,Actual,3046.4
KERALA,2014,Percentage departure,4
KERALA,2014,No. of districts,NA
KERALA,2015,Actual,2600.6
KERALA,2015,Percentage departure,-11.3
KERALA,2015,No. of districts,NA
KONKAN & GOA,1901,Mean,2974.8
KONKAN & GOA,1901,Standard deviation,478.5
KONKAN & GOA,1901,Coefficient of variation,16.1
KONKAN & GOA,1901,Actual,2792.9
KONKAN & GOA,1901,Percentage departure,-6.1
KONKAN & GOA,1901,No. of districts,NA
KONKAN & GOA,1902,Actual,2673.9
KONKAN & GOA,1902,Percentage departure,-10.1
KONKAN & GOA,1902,No. of districts,NA
KONKAN & GOA,1903,Actual,3084.3
KONKAN & GOA,1903,Percentage departure,3.7
KONKAN & GOA,1903,No. of districts,NA
KONKAN & GOA,1904,Actual,2393.7
KONKAN & GOA,1904,Percentage departure,-19.5
KONKAN & GOA,1904,No. of districts,NA
KONKAN & GOA,1905,Actual,1682.8
KONKAN & GOA,1905,Percentage departure,-43.4
KONKAN & GOA,1905,No. of districts,NA
KONKAN & GOA,1906,Actual,2418.9
KONKAN & GOA,1906,Percentage departure,-18.7
KONKAN & GOA,1906,No. of districts,NA
KONKAN & GOA,1907,Actual,2766.6
KONKAN & GOA,1907,Percentage departure,-7
KONKAN & GOA,1907,No. of districts,NA
KONKAN & GOA,1908,Actual,2735.5
KONKAN & GOA,1908,Percentage departure,-8
KONKAN & GOA,1908,No. of districts,NA
KONKAN & GOA,1909,Actual,2860.5
KONKAN & GOA,1909,Percentage departure,-3.8
KONKAN & GOA,1909,No. of districts,NA
KONKAN & GOA,1910,Actual,2544
KONKAN & GOA,1910,Percentage departure,-14.5
KONKAN & GOA,1910,No. of districts,NA
KONKAN & GOA,1911,Actual,2134.7
KONKAN & GOA,1911,Percentage departure,-28.2
KONKAN & GOA,1911,No. of districts,NA
KONKAN & GOA,1912,Actual,2793.3
KONKAN & GOA,1912,Percentage departure,-6.1
KONKAN & GOA,1912,No. of districts,NA
KONKAN & GOA,1913,Actual,2617.4
KONKAN & GOA,1913,Percentage departure,-12
KONKAN & GOA,1913,No. of districts,NA
KONKAN & GOA,1914,Actual,3464.6
KONKAN & GOA,1914,Percentage departure,16.5
KONKAN & GOA,1914,No. of districts,NA
KONKAN & GOA,1915,Actual,2525.8
KONKAN & GOA,1915,Percentage departure,-15.1
KONKAN & GOA,1915,No. of districts,NA
KONKAN & GOA,1916,Actual,3402.6
KONKAN & GOA,1916,Percentage departure,14.4
KONKAN & GOA,1916,No. of districts,NA
KONKAN & GOA,1917,Actual,3430.9
KONKAN & GOA,1917,Percentage departure,15.3
KONKAN & GOA,1917,No. of districts,NA
KONKAN & GOA,1918,Actual,1867.3
KONKAN & GOA,1918,Percentage departure,-37.2
KONKAN & GOA,1918,No. of districts,NA
KONKAN & GOA,1919,Actual,2851.7
KONKAN & GOA,1919,Percentage departure,-4.1
KONKAN & GOA,1919,No. of districts,NA
KONKAN & GOA,1920,Actual,1924.1
KONKAN & GOA,1920,Percentage departure,-35.3
KONKAN & GOA,1920,No. of districts,NA
KONKAN & GOA,1921,Actual,2899.2
KONKAN & GOA,1921,Percentage departure,-2.5
KONKAN & GOA,1921,No. of districts,NA
KONKAN & GOA,1922,Actual,2817.5
KONKAN & GOA,1922,Percentage departure,-5.3
KONKAN & GOA,1922,No. of districts,NA
KONKAN & GOA,1923,Actual,2770.5
KONKAN & GOA,1923,Percentage departure,-6.9
KONKAN & GOA,1923,No. of districts,NA
KONKAN & GOA,1924,Actual,2444.3
KONKAN & GOA,1924,Percentage departure,-17.8
KONKAN & GOA,1924,No. of districts,NA
KONKAN & GOA,1925,Actual,2305.1
KONKAN & GOA,1925,Percentage departure,-22.5
KONKAN & GOA,1925,No. of districts,NA
KONKAN & GOA,1926,Actual,3165.9
KONKAN & GOA,1926,Percentage departure,6.4
KONKAN & GOA,1926,No. of districts,NA
KONKAN & GOA,1927,Actual,2747
KONKAN & GOA,1927,Percentage departure,-7.7
KONKAN & GOA,1927,No. of districts,NA
KONKAN & GOA,1928,Actual,3172.4
KONKAN & GOA,1928,Percentage departure,6.6
KONKAN & GOA,1928,No. of districts,NA
KONKAN & GOA,1929,Actual,2509.4
KONKAN & GOA,1929,Percentage departure,-15.6
KONKAN & GOA,1929,No. of districts,NA
KONKAN & GOA,1930,Actual,2845.7
KONKAN & GOA,1930,Percentage departure,-4.3
KONKAN & GOA,1930,No. of districts,NA
KONKAN & GOA,1931,Actual,3999.3
KONKAN & GOA,1931,Percentage departure,34.4
KONKAN & GOA,1931,No. of districts,NA
KONKAN & GOA,1932,Actual,2962.9
KONKAN & GOA,1932,Percentage departure,-0.4
KONKAN & GOA,1932,No. of districts,NA
KONKAN & GOA,1933,Actual,3343.4
KONKAN & GOA,1933,Percentage departure,12.4
KONKAN & GOA,1933,No. of districts,NA
